ticker,tradeDate,expirDate,dte,strike,stockPrice,callVolume,callOpenInterest,callBidSize,callAskSize,putVolume,putOpenInterest,putBidSize,putAskSize,callBidPrice,callValue,callAskPrice,putBidPrice,putValue,putAskPrice,callBidIv,callMidIv,callAskIv,smvVol,putBidIv,putMidIv,putAskIv,residualRate,delta,gamma,theta,vega,rho,phi,driftlessTheta,callSmvVol,putSmvVol,extSmvVol,extCallValue,extPutValue,spotPrice,quoteDate,updatedAt
SPY,2021-04-15,2021-04-16,2,220,415.69,0,0,20,20,0,4542,0,5946,195.64,195.69000000000008,195.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,195.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,225,415.69,0,0,20,20,0,4467,0,5946,190.64,190.69000000000008,190.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,190.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,230,415.69,0,0,20,20,0,2450,0,5946,185.64,185.69000000000008,185.72,0,0,0.01,0,3.9813857570264295,3.9813857570264295,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,185.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,235,415.69,0,0,20,20,0,3865,0,5946,180.64,180.69000000000008,180.72,0,0,0.01,0,3.846635963619368,3.846635963619368,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,180.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,240,415.69,0,0,20,20,0,3905,0,5946,175.64,175.69000000000008,175.72,0,0,0.01,0,3.7147677068262372,3.7147677068262372,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,175.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,245,415.69,0,5,20,20,0,15266,0,4842,170.64,170.69000000000008,170.72,0,0,0.01,0,3.5856585844711697,3.5856585844711697,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,170.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,250,415.69,0,6,20,20,1,5145,0,4852,165.64,165.69000000000008,165.72,0,0,0.01,0,3.459287480875756,3.459287480875756,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,165.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,255,415.69,0,2,20,20,0,6930,0,4844,160.64,160.69000000000008,160.72,0,0,0.01,0,3.334184583707782,3.334184583707782,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,160.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,260,415.69,0,7,20,20,0,12100,0,4832,155.64,155.69000000000008,155.72,0,0,0.01,0,3.2102113343251286,3.2102113343251286,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,155.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,265,415.69,0,0,20,20,0,2779,0,4810,150.64,150.69000000000008,150.72,0,0,0.01,0,3.0886309120454056,3.0886309120454056,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000005774650115,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,150.69000000000003,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
